Sample pair	miR-130ac/301ab/301b/301b-3p/454/721/4295/3666	miR-130ac/301ab/301b/301b-3p/454/721/4295/3666_3UTR	miR-518a-5p/527	miR-518a-5p/527_3UTR	miR-642b	miR-642b_3UTR	miR-142-5p	miR-142-5p_3UTR	miR-3148	miR-3148_3UTR	miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac_3UTR	miR-132/212/212-3p	miR-132/212/212-3p_3UTR	miR-205/205ab	miR-205/205ab_3UTR	miR-382	miR-382_3UTR	miR-19ab	miR-19ab_3UTR	miR-590-3p	miR-590-3p_3UTR	miR-144	miR-144_3UTR	miR-380/380-3p	miR-380/380-3p_3UTR	miR-200bc/429/548a	miR-200bc/429/548a_3UTR	miR-1953/3153	miR-1953/3153_3UTR	miR-653	miR-653_3UTR	miR-141/200a	miR-141/200a_3UTR	miR-1265	miR-1265_3UTR	miR-1244	miR-1244_3UTR	miR-561	miR-561_3UTR	miR-3936	miR-3936_3UTR	miR-129-5p/129ab-5p	miR-129-5p/129ab-5p_3UTR	miR-548abakhjiwy/548abcd-5p/559	miR-548abakhjiwy/548abcd-5p/559_3UTR	miR-519a/519bc-3p/291b-3p/1347	miR-519a/519bc-3p/291b-3p/1347_3UTR	miR-153	miR-153_3UTR	response
BH-A0B5	0.169053730592	0.529033737773	-7.86831549595	0.227888705245	0.0	1.05710821564	0.971687848295	0.311374250738	0.0	1.27793363531	0.220107554042	0.345632896792	0.507826878341	1.23920874803	3.59939712055	0.293465237454	0.937979571849	0.0111167419063	-0.177398507797	0.478633200827	-0.457242525559	0.305785918803	-3.35368118501	0.599101389046	0.730872056596	0.12852395012	6.04261088646	0.408548237043	0.0	0.355983435585	-1.33042761556	0.165417698098	6.06958958166	0.344508880684	0.0	0.66208530329	0.0	0.725749582396	7.68307213439	0.350310156378	0.0	0.703733876378	8.78137887302	0.170337546531	-9.47744645316	0.334407889104	-1.22666462159	0.453063907837	-0.906899259473	0.299227773381	-0.606429453916
BH-A0HA	-0.794072523647	0.697230775854	-8.49525837261	0.542752933433	0.0	0.41987015383	1.38452534014	0.685449029804	0.0	-0.00522197358064	-8.08989343285	0.68391244171	-0.546983984	1.0098389958	-2.63158851291	0.786025663508	0.292569355055	0.721020798161	-0.381369610408	0.488403470198	0.664381862965	0.62029193808	-0.569958970544	0.619272071376	0.039798852919	0.72455032786	0.783787803915	0.744632674472	0.0	0.969820382638	0.833365564998	0.603348985087	1.17201665615	0.660349002651	7.43683527329	0.0367999242864	0.0	0.457486237616	-0.653061225781	0.525492990302	8.12968783708	0.219783754471	-1.01615414895	0.768938389087	-1.16403313712	0.745601472399	-0.470947907456	0.640505076642	-0.45372853076	0.728061753732	-0.292051630978
BH-A1F2	0.440268445547	0.479778498071	0.0	-0.0306881495553	0.0	0.642852118703	1.82892070595	0.223412381858	0.0	0.639301712364	0.0439881027834	0.503653320996	0.000247572001471	0.757182678098	-3.29697457056	0.305268029582	1.05558948326	0.278160189777	0.864400300883	0.305703723078	1.46798839134	0.317631518838	-0.885543156237	0.464727022256	10.2768267729	0.222408310978	1.54864114929	0.534164014794	0.0	0.671923873885	1.79318295978	0.163436092933	1.82422284058	0.375860527922	0.0	-0.0890328959208	0.0	0.276415210127	1.14238250127	0.17921712892	0.0	0.548361204443	-0.894236840948	0.532585603613	1.14238353385	0.333870136592	10.8829470554	0.22628808326	-0.0766347535329	0.451828800456	-0.384258001666
E9-A1N5	-1.45597761491	0.107564561038	0.0	0.0279299909232	0.0	0.35952201709	-0.262713792296	0.110738685166	0.0	0.0823591054865	-1.24210740067	0.0589943918914	-2.96988888242	0.480971685379	-3.70511204177	0.230163715067	-2.8984322059	-0.0705708755271	-1.335374293	0.0940683490193	-1.03965711135	0.0814577393976	-0.773016311741	0.140589150539	-2.782403781	0.198396738413	-0.29606255195	0.099541023659	0.0	0.142612476081	-0.979821320409	0.0485879335155	-0.102210266197	0.216475991424	0.0	0.0438620719229	0.0	0.0730497728127	-8.41705678409	0.161916733834	0.0	0.0806123852352	-3.05214389113	0.0516023913263	-1.84822645372	0.161365261443	-1.5296802956	0.149883888869	-1.92652291673	0.150887890369	-0.31797164873
BH-A18R	1.62535307108	-0.32094511373	-9.03835085535	-1.8100794162	0.0	0.412249593001	2.7139828723	0.392501941141	0.0	0.778595901371	8.85544099364	0.397852676982	0.483364502967	0.452361944256	0.207050784802	-1.25976698949	0.44121668461	-0.830089205144	1.06907911472	-0.254854107696	0.761490732587	0.171478430142	-2.04507198722	0.44610265516	1.60863529898	0.154025162218	1.31996491607	0.356800317693	0.0	0.581170139302	0.56736468645	0.0652044312215	1.43490427179	0.130163098708	0.0	-0.315676511492	0.0	-0.778955129015	0.0	-0.556010327205	0.0	0.24613810844	-9.73143924475	0.453984777142	0.510180567619	0.277973691143	0.510118559365	-0.285848788937	0.247844186428	-0.72736702187	-0.0939872300124
BH-A18S	-0.50914979681	0.0742884877479	0.0	-0.153370398286	8.59944207907	0.439023798161	0.453919502694	0.101495087864	0.0	0.968522307621	-1.01562521529	0.181067721819	-0.58372760279	0.923548421965	0.0316817105965	0.0899458677094	-1.10682205673	-0.21941237157	-0.129256342141	0.0737286368805	0.548101104701	0.0332589010224	-2.77566330234	0.213375703812	8.59944207907	-0.104854305042	1.29955637597	0.357709590749	0.0	0.240792837736	0.834731123472	-0.141901213995	1.6981490531	0.150734255118	0.0	-0.168257212853	0.0	0.147420103424	0.0	0.0129181771483	0.0	0.144469503039	-0.204916313588	0.274696953422	0.37035155652	-0.019321499532	-8.22909236463	0.191133449929	2.02865231536	0.168766247524	0.0461320943783
GI-A2C8	0.0388830981482	-0.247515761663	0.0	-1.14237497364	0.0	0.491623110507	0.320410454126	-0.289812095069	0.0	0.300958065025	-1.08544007403	-0.209712938329	0.172961928108	0.796669028955	2.56363209169	-0.686056171346	0.256020273233	-0.572447609127	-0.705479155673	-0.222461733923	-1.21266107159	-0.199452343064	-4.31669477135	-0.0857810662204	0.418464766337	-0.132189049376	5.23883293885	-0.119528194719	0.0	-0.141813513295	-0.0833844605737	-0.317812515854	4.41298984159	0.0413734890691	0.0	0.265971634051	0.0	-0.245846858052	-0.392177751113	0.0420755035808	-0.392177751113	-0.229991379666	0.523811294484	-0.420487681256	-2.00126501542	-0.05689885644	-9.67328099179	-0.294675839177	-0.0997182829399	-0.467563818367	0.753849223386
BH-A18Q	0.444760134026	0.232647611252	-8.2867329382	0.141595704443	0.0	0.350829291497	2.50632046422	0.215309308806	0.0	0.542881269367	-8.69211409749	0.447992853591	0.226350478366	0.267825644404	-1.56178401459	0.316007238113	-0.876398647154	0.287979454837	1.77781236869	0.297906680585	1.54677521082	0.23064048038	-1.36260505754	0.280871096985	0.0	0.0947402168846	1.64367964387	0.327107049314	0.0	0.332633382849	-0.0525812275004	0.151529721503	2.0482525792	0.32818649442	0.0	0.0813874687762	0.0	0.202154760512	-8.69211409749	-0.0496701132224	-7.59383756182	-0.297366066196	-8.50982612107	0.342216037389	2.46099719051	0.173990440529	1.30827191831	0.269819971701	-0.275723442634	0.3423978928	-0.351072666732
BH-A0B7	-0.226226811473	-0.0987127244513	0.0	-0.385615461342	8.23727556416	0.0576575904459	2.51876769093	-0.12766648337	0.0	-0.244751153196	0.218665676203	-0.0424099816204	-0.69202207224	0.145652825136	-1.42981807618	-0.169493641827	-0.730399014191	0.0334502942272	0.0851484190808	-0.260485877145	1.07144060643	-0.120173123601	-0.564753218078	-0.170301422766	-1.39055861353	-0.142232940758	0.025455625862	-0.0885942226462	0.0	0.146671334026	-1.59606415976	-0.203585970868	0.649397314359	-0.0797242603252	0.0	-0.611365019624	0.0	-0.253880652818	-0.474367010426	-0.268149033655	0.0	-0.0372234339001	-1.28533331029	-0.112445151544	0.218664852846	-0.0771909190079	-9.11705224644	-0.210465124635	0.383434365367	-0.106161787699	-0.0111055252732
BH-A18U	0.64829484554	0.193401967429	-9.37994474036	0.023811434092	0.0	0.313834576484	-0.832192495097	0.20176163551	0.0	0.462969077129	-9.78538227747	0.324801247598	0.296840441213	0.439206862929	0.0318722878087	0.30652345468	-0.02570109711	0.160215469714	0.131844966746	0.181027889003	0.0796585858845	0.138110986669	-0.36217129614	0.222512555919	0.0	0.0883662615671	-0.101231581861	0.3414529494	0.0	0.537117708443	-0.179849650419	0.0926781243549	-0.654822762524	0.136371023365	0.0	-1.16778549083	0.0	0.15174924552	0.0	0.0657586822781	0.0	0.10666707426	-2.2337593136	0.127478816095	-1.80904189763	0.15884276592	-0.767573810939	0.298323659105	-0.725071149234	0.323699451336	-0.212335327935
